nim;nik;concatenate;;;;
4820102230001;6311053112990001;;;;;
4820102230002;6311053112990002;;;;;
4820102230003;6311053112990003;;;;;
4820102230004;6311053112990004;;;;;
4820102230005;6311053112990005;;;;;
4820102230006;6311053112990006;;;;;
4820102230007;6311053112990007;;;;;
4820102230008;6311053112990008;;;;;
4820102230009;6311053112990009;;;;;
4820102230010;63110531129900010;;;;;
4820102230011;63110531129900011;;;;;
4820102230012;63110531129900012;;;;;
4820102230013;63110531129900013;;;;;
4820102230014;63110531129900014;;;;;
4820102230015;63110531129900015;;;;;
4820102230016;63110531129900016;;;;;
4820102230017;63110531129900017;;;;;
4820102230018;63110531129900018;;;;;
4820102230019;63110531129900019;;;;;
4820102230020;63110531129900020;;;;;
4820102230021;63110531129900021;;;;;
4820102230022;63110531129900022;;;;;
4820102230023;63110531129900023;;;;;
4820102230024;63110531129900024;;;;;
4820102230025;63110531129900025;;;;;
4820102230026;63110531129900026;;;;;
4820102230027;63110531129900027;;;;;
4820102230028;63110531129900028;;;;;
4820102230029;63110531129900029;;;;;
4820102230030;63110531129900030;;;;;
4820102230031;63110531129900031;;;;;
4820102230032;63110531129900032;;;;;
4820102230033;63110531129900033;;;;;
4820102230034;63110531129900034;;;;;
4820102230035;63110531129900035;;;;;
4820102230036;63110531129900036;;;;;
4820102230037;63110531129900037;;;;;
4820102230038;63110531129900038;;;;;
4820102230039;63110531129900039;;;;;
4820102230040;63110531129900040;;;;;
4820102230041;63110531129900041;;;;;
4820102230042;63110531129900042;;;;;
4820102230044;63110531129900043;;;;;
4820102230069;63110531129900044;;;;;
